Date,Sales,Year,Month,Quarter,Lag_1,Lag_2,Lag_3,Lag_6,Lag_12,Rolling_Mean_3,Rolling_Mean_6,Rolling_Mean_12
2012-01-01,135780.72024,2012,1,1,333925.7346,298496.53752,199071.26404,115510.41912,98898.48886,277164.5120533334,240799.98364000002,188287.57462833333
2012-02-01,100510.21698,2012,2,1,135780.72024,333925.7346,298496.53752,207581.49122,91152.15698,256067.66412,244178.36716000002,191361.09391000003
2012-03-01,163076.77116,2012,3,1,100510.21698,135780.72024,333925.7346,290214.45534,145729.36736,190072.22394000003,226333.15478666665,192140.93224333334
2012-04-01,161052.26952,2012,4,2,163076.77116,100510.21698,135780.72024,199071.26404,116915.76418,133122.56946,205143.54075666668,193586.54922666668
2012-05-01,208364.89124,2012,5,2,161052.26952,163076.77116,100510.21698,298496.53752,146747.8361,141546.41922,198807.04167000004,197264.59133833335
2012-06-01,256175.69842,2012,6,2,208364.89124,161052.26952,163076.77116,333925.7346,215207.38022,177497.97730666667,183785.10062333333,202399.34593333336
2012-07-01,145236.78512,2012,7,3,256175.69842,208364.89124,161052.26952,135780.72024,115510.41912,208530.95305999997,170826.76125999997,205813.37245
2012-08-01,303142.94238,2012,8,3,145236.78512,256175.69842,208364.89124,100510.21698,207581.49122,203259.12492666664,172402.77207333333,208290.56961666667
2012-09-01,289389.16564,2012,9,3,303142.94238,145236.78512,256175.69842,163076.77116,290214.45534,234851.80863999997,206174.89297333334,216254.02388
2012-10-01,252939.8502,2012,10,4,289389.16564,303142.94238,145236.78512,161052.26952,199071.26404,245922.96438000002,227226.95872,216185.24973833337
2012-11-01,323512.4169,2012,11,4,252939.8502,289389.16564,303142.94238,208364.89124,298496.53752,281823.9860733333,242541.5555,220674.29858499998
2012-12-01,338256.9666,2012,12,4,323512.4169,252939.8502,289389.16564,256175.69842,333925.7346,288613.8109133333,261732.8097766667,222758.9552
2013-01-01,199185.90738,2013,1,1,338256.9666,323512.4169,252939.8502,145236.78512,135780.72024,304903.0779,275413.02114,223119.89119999998
2013-02-01,167239.6504,2013,2,1,199185.90738,338256.9666,323512.4169,303142.94238,100510.21698,286985.09696,284404.54151666665,228403.656795
2013-03-01,198594.03012,2013,3,1,167239.6504,199185.90738,338256.9666,289389.16564,163076.77116,234894.17479333328,261753.99285333333,233964.4429133333
2013-04-01,177821.31684,2013,4,2,198594.03012,167239.6504,199185.90738,252939.8502,161052.26952,188339.8626333333,246621.47026666664,236924.21449333333
2013-05-01,260498.56470000002,2013,5,2,177821.31684,198594.03012,167239.6504,323512.4169,208364.89124,181218.3324533333,234101.71470666668,238321.6351033333
2013-06-01,396519.6119,2013,6,2,260498.56470000002,177821.31684,198594.03012,338256.9666,256175.69842,212304.63722,223599.4060066667,242666.10789166667
2013-07-01,229928.952,2013,7,3,396519.6119,260498.56470000002,177821.31684,199185.90738,145236.78512,278279.83114666666,233309.84689000002,254361.434015
2013-08-01,326488.78936,2013,8,3,229928.952,396519.6119,260498.56470000002,167239.6504,303142.94238,295649.0428666666,238433.68766000003,261419.11458833332
2013-09-01,376619.24568,2013,9,3,326488.78936,229928.952,396519.6119,198594.03012,289389.16564,317645.78442,264975.21082,263364.6018366667
2013-10-01,293406.64288,2013,10,4,376619.24568,326488.78936,229928.952,177821.31684,252939.8502,311012.32901333336,294646.08008000004,270633.7751733333
2013-11-01,373989.3601,2013,11,4,293406.64288,376619.24568,326488.78936,260498.56470000002,323512.4169,332171.55930666666,313910.30108666664,274006.0078966667
2013-12-01,405454.37802,2013,12,4,373989.3601,293406.64288,376619.24568,396519.6119,338256.9666,348005.0828866667,332825.4336533333,278212.41982999997
2014-01-01,241268.55566,2014,1,1,405454.37802,373989.3601,293406.64288,229928.952,199185.90738,357616.79366666666,334314.56134,283812.20411500003
2014-02-01,184837.35556,2014,2,1,241268.55566,405454.37802,373989.3601,326488.78936,167239.6504,340237.43126,336204.4952833333,287319.09147166664
2014-03-01,263100.77262,2014,3,1,184837.35556,241268.55566,405454.37802,376619.24568,198594.03012,277186.76308,312595.9229833333,288785.5669016667
2014-04-01,242771.8613,2014,4,2,263100.77262,184837.35556,241268.55566,293406.64288,177821.31684,229735.56128000002,293676.1774733333,294161.12877666665
2014-05-01,288401.04614,2014,5,2,242771.8613,263100.77262,184837.35556,373989.3601,260498.56470000002,230236.66316,285237.04721,299573.6741483333
2014-06-01,401814.0631,2014,6,2,288401.04614,242771.8613,263100.77262,405454.37802,396519.6119,264757.8933533333,270972.32821666665,301898.88093499996
2014-07-01,258705.68048,2014,7,3,401814.0631,288401.04614,242771.8613,241268.55566,229928.952,310995.6568466667,270365.6090633333,302340.0852016667
2014-08-01,456619.94236,2014,8,3,258705.68048,401814.0631,288401.04614,184837.35556,326488.78936,316306.9299066667,273271.7965333333,304738.1459083333
2014-09-01,481157.2437,2014,9,3,456619.94236,258705.68048,401814.0631,263100.77262,376619.24568,372379.8953133333,318568.8943333333,315582.4086583333
2014-10-01,422766.62916,2014,10,4,481157.2437,456619.94236,258705.68048,242771.8613,293406.64288,398827.62218,354911.6395133333,324293.9084933333
2014-11-01,555279.027,2014,11,4,422766.62916,481157.2437,456619.94236,288401.04614,373989.3601,453514.6050733333,384910.76749,335073.90735
2014-12-01,503143.69348,2014,12,4,555279.027,422766.62916,481157.2437,401814.0631,405454.37802,486400.96662,429390.43096666667,350181.3795916667
